level_0,index,Sub_Category,Total_Spendings_in_SubCategoty,Mean_Spendings_in_SubCategoty,Min_value_in_SubCategory,Max_value_in_SubCategory,Count_of_occurance
0,0,APPLE,14.99,14.99,14.99,14.99,1
1,1,AUTOMAT,20.0,4.0,4.0,4.0,5
2,2,Aldi,45.35,22.68,13.37,31.98,2
3,3,Apartaments,1101.75,1101.75,1101.75,1101.75,1
4,4,Artykuly Biurowe,49.99,24.99,18.0,31.99,2
5,5,BLIK,232.64,46.53,15.64,110.0,5
6,6,Basen,12.0,12.0,12.0,12.0,1
7,7,Biednronka,254.13,50.83,27.48,110.23,5
8,8,CARREFOUR,2.19,2.19,2.19,2.19,1
9,9,Casual,149.98,49.99,39.99,59.99,3
10,10,DISNEY,6.3,6.3,6.3,6.3,1
11,11,Debt pay,221.3,110.65,110.65,110.65,2
12,12,Events,1074.5,1074.5,1074.5,1074.5,1
13,13,Fuel,1193.79,108.53,6.49,193.91,11
14,14,GOOGLE,8.99,8.99,8.99,8.99,1
15,15,Internal Moves,2808.0,561.6,8.0,1000.0,5
16,16,Internet,49.0,49.0,49.0,49.0,1
17,17,KAWA,19.8,9.9,8.9,10.9,2
18,18,KEBAB,60.7,20.23,13.0,32.4,3
19,19,KFC,49.48,24.74,20.0,29.48,2
20,20,Lidl,309.4,154.7,154.05,155.35,2
21,21,MCDONALDS,268.7,33.59,7.5,77.2,8
22,22,MICROSOFT,42.99,42.99,42.99,42.99,1
23,23,MPK,20.0,20.0,20.0,20.0,1
24,24,Mrowka,450.59,225.3,17.99,432.6,2
25,25,Other Stores,59.95,59.95,59.95,59.95,1
26,26,Outdor,339.94,339.94,339.94,339.94,1
27,27,Piekarnia,16.2,8.1,8.1,8.1,2
28,28,Rent,7200.0,3600.0,3600.0,3600.0,2
29,29,Restauramt,49.0,24.5,23.0,26.0,2
30,30,SPOTIFY,9.5,9.5,9.5,9.5,1
31,31,Smart saver,250.8,3.58,0.11,120.0,70
32,32,Telephone,35.0,17.5,5.0,30.0,2
33,33,Trains and Buses,39.84,13.28,1.6,20.0,3
34,34,Unclasifided,227.31,25.26,1.0,89.99,9
35,35,XTB,12000.0,12000.0,12000.0,12000.0,1
36,36,Zabka,30.79,10.26,6.99,12.4,3
